acct_id;,cust_id;,cust_txn_num;,sor_id;,cust_name;,address;,state_cd;,txn_dt;,card_num;,txn_remarks;
9908410176,842235516733,5454465955774587,19,Various.,From choose station.,NA,03081993,5763820467580755,Identify respond sit.
9940853807,143421102155,7109471506517773,75,Wait.,Cost catch.,NA,09201980,5619794589007346,The ok course involve.
9632391024,664676594994,8822002387498870,91,Prevent.,Page today enter.,NA,07281991,1050968203624759,Hour seat parent building.
1698676392,712786290668,6041620757451309,82,This huge.,Recognize cold up.,NA,03122019,9357090295272513,Avoid yard two minute southern anyone.
9437090772,667164506522,9037379171405088,69,He much.,History everything.,NA,10022019,3183787292681763,Store admit each loss Mrs always method.
8261090798,175546667100,3586044042477926,61,Woman.,Authority task.,NA,12112012,9429788034092636,These say myself ten tough director.
6390523740,912361082883,2725521585899335,72,Floor.,Often activity.,NA,12092008,1202377048731948,Nature win can minute traditional store.
5101581112,535146982275,7801004968991464,33,Ball pick.,Memory paper safe.,NA,05101983,6403471693195376,Across evening chance alone thank all for.
9238196833,247652625713,3262560431119764,71,Identify.,Success remain hard.,NA,11191984,2073066413000674,Oil expect role play phone daughter inside.
2603171435,757335309172,2703338574708474,69,Voice.,Culture number no.,NA,02101998,1007280293357265,Behind perform year.
